"","t","scenario","function.int","Population","N"
"274",6,"medium",2,"Nj",5998.38524884441
"275",7,"medium",2,"Ni",0.0154000479336986
"276",7,"medium",2,"Nj",16195.6401718799
"277",8,"medium",2,"Ni",0.00415801294209861
"278",8,"medium",2,"Nj",43728.2284640757
"279",9,"medium",2,"Ni",0.00112266349436663
"280",9,"medium",2,"Nj",118066.216853004
"281",10,"medium",2,"Ni",0.000303119143478989
"282",10,"medium",2,"Nj",318778.785503112
"283",11,"medium",2,"Ni",8.1842168739327e-05
"284",11,"medium",2,"Nj",860702.720858403
"285",12,"medium",2,"Ni",2.20973855596183e-05
"286",12,"medium",2,"Nj",2323897.34631769
"287",13,"medium",2,"Ni",5.96629410109694e-06
"288",13,"medium",2,"Nj",6274522.83505776
"289",14,"medium",2,"Ni",1.61089940729618e-06
"290",14,"medium",2,"Nj",16941211.6546559
"291",15,"medium",2,"Ni",4.34942839969967e-07
"292",15,"medium",2,"Nj",45741271.467571
"293",16,"medium",2,"Ni",1.17434566791891e-07
"294",16,"medium",2,"Nj",123501432.962442
"295",17,"medium",2,"Ni",3.17073330338106e-08
"296",17,"medium",2,"Nj",333453868.998593
"297",18,"medium",2,"Ni",8.56097991912888e-09
"298",18,"medium",2,"Nj",900325446.296201
"299",19,"medium",2,"Ni",2.3114645781648e-09
"300",19,"medium",2,"Nj",2430878704.99974
"301",20,"medium",2,"Ni",6.24095436104495e-10
"302",20,"medium",2,"Nj",6563372503.49931
"303",21,"medium",2,"Ni",1.68505767748214e-10
"304",21,"medium",2,"Nj",17721105759.4481
"305",22,"medium",2,"Ni",4.54965572920177e-11
"306",22,"medium",2,"Nj",47846985550.51
"307",23,"medium",2,"Ni",1.22840704688448e-11
"308",23,"medium",2,"Nj",129186860986.377
"309",24,"medium",2,"Ni",3.3166990265881e-12
"310",24,"medium",2,"Nj",348804524663.218
"311",25,"medium",2,"Ni",8.95508737178786e-13
"312",25,"medium",2,"Nj",941772216590.688
"313",0,"medium",3,"Ni",137.941469699797
"314",0,"medium",3,"Nj",12.4170108053485
"315",1,"medium",3,"Ni",37.2442726021797
"316",1,"medium",3,"Nj",33.5312359995519
"317",2,"medium",3,"Ni",21.2780417935321
"318",2,"medium",3,"Nj",92.5650231145287
"319",3,"medium",3,"Ni",40.7984900518613
"320",3,"medium",3,"Nj",250.145633249046
"321",4,"medium",3,"Ni",12.0187058497953
"322",4,"medium",3,"Nj",675.393210575781
"323",5,"medium",3,"Ni",3.41352492557823
"324",5,"medium",3,"Nj",1823.56166855461
"325",6,"medium",3,"Ni",0.921654979190457
"326",6,"medium",3,"Nj",4923.61650509745
"327",7,"medium",3,"Ni",0.248846844381423
"328",7,"medium",3,"Nj",13293.7645637631
"329",8,"medium",3,"Ni",0.0671886479829843
"330",8,"medium",3,"Nj",35893.1643221604
"331",9,"medium",3,"Ni",0.0181409349554058
"332",9,"medium",3,"Nj",96911.5436698331
"333",10,"medium",3,"Ni",0.00489805243795956
"334",10,"medium",3,"Nj",261661.167908549
"335",11,"medium",3,"Ni",0.00132247415824908
"336",11,"medium",3,"Nj",706485.153353083
"337",12,"medium",3,"Ni",0.000357068022727252
"338",12,"medium",3,"Nj",1907509.91405333
"339",13,"medium",3,"Ni",9.64083661363581e-05
"340",13,"medium",3,"Nj",5150276.76794398
"341",14,"medium",3,"Ni",2.60302588568167e-05
"342",14,"medium",3,"Nj",13905747.2734487
"343",15,"medium",3,"Ni",7.02816989134051e-06
"344",15,"medium",3,"Nj",37545517.6383116
"345",16,"medium",3,"Ni",1.89760587066194e-06
"346",16,"medium",3,"Nj",101372897.623441
"347",17,"medium",3,"Ni",5.12353585078723e-07
"348",17,"medium",3,"Nj",273706823.583292
"349",18,"medium",3,"Ni",1.38335467971255e-07
"350",18,"medium",3,"Nj",739008423.674888
"351",19,"medium",3,"Ni",3.7350576352239e-08
"352",19,"medium",3,"Nj",1995322743.9222
"353",20,"medium",3,"Ni",1.00846556151045e-08
"354",20,"medium",3,"Nj",5387371408.58993
"355",21,"medium",3,"Ni",2.72285701607822e-09
"356",21,"medium",3,"Nj",14545902803.1928
"357",22,"medium",3,"Ni",7.3517139434112e-10
"358",22,"medium",3,"Nj",39273937568.6206
"359",23,"medium",3,"Ni",1.98496276472102e-10
"360",23,"medium",3,"Nj",106039631435.276
"361",24,"medium",3,"Ni",5.35939946474677e-11
"362",24,"medium",3,"Nj",286307004875.244
"363",25,"medium",3,"Ni",1.44703785548163e-11
"364",25,"medium",3,"Nj",773028913163.159
"365",0,"medium",4,"Ni",137.941469699797
"366",0,"medium",4,"Nj",12.4170108053485
"367",1,"medium",4,"Ni",37.2446843733473
"368",1,"medium",4,"Nj",33.5262180531546
"369",2,"medium",4,"Ni",40.235485846122
"370",2,"medium",4,"Nj",91.4794694741754
"371",3,"medium",4,"Ni",46.4342096747198
"372",3,"medium",4,"Nj",247.007502458867
"373",4,"medium",4,"Ni",77.787837062312
"374",4,"medium",4,"Nj",666.920256665945
"375",5,"medium",4,"Ni",81.8781572275526
"376",5,"medium",4,"Nj",1800.68469299805
