"","Time","Seeds i","Plants i","Biomass i","Seeds j","Plants j","Biomass j"
"",8.79,58613.5836558706,46.3230262743325,120.749113767788,141270.34570171,111.647668126652,234.465190198455
"",8.7905,58610.6237446343,46.3500155001203,120.777911482234,141269.921891309,111.718023986435,234.494880120375
"",8.791,58607.6639828698,46.3770018965993,120.80660913879,141269.498082179,111.788379458424,234.524419584214
"",8.7915,58604.7043705695,46.4039854639856,120.835207091303,141269.07427432,111.85873454262,234.553809292683
"",8.792,58601.7449077259,46.4309662024955,120.863705692545,141268.650467733,111.929089239026,234.583049945658
"",8.7925,58598.7855943313,46.4579441123452,120.892105294213,141268.226662418,111.999443547642,234.612142240182
"",8.793,58595.8264303784,46.4849191937506,120.920406246932,141267.802858373,112.069797468471,234.64108687048
"",8.7935,58592.8674158594,46.5118914469282,120.948608900257,141267.379055601,112.140151001514,234.66988452796
"",8.794,58589.9085507668,46.5388608720939,120.976713602669,141266.955254099,112.210504146772,234.698535901224
"",8.7945,58586.9498350932,46.5658274694637,121.004720701582,141266.531453869,112.280856904248,234.727041676074
"",8.795,58583.991268831,46.592791239254,121.03263054334,141266.10765491,112.351209273942,234.755402535518
"",8.7955,58581.0328519726,46.6197521816807,121.06044347322,141265.683857223,112.421561255857,234.78361915978
"",8.796,58578.0745845104,46.6467102969598,121.08815983543,141265.260060807,112.491912849994,234.811692226305
"",8.7965,58575.116466437,46.6736655853075,121.115779973116,141264.836265663,112.562264056354,234.83962240977
"",8.797,58572.1584977448,46.7006180469398,121.143304228358,141264.41247179,112.63261487494,234.867410382086
"",8.7975,58569.2006784262,46.7275676820726,121.170732942172,141263.988679188,112.702965305752,234.89505681241
"",8.798,58566.2430084737,46.754514490922,121.198066454514,141263.564887858,112.773315348793,234.922562367151
"",8.7985,58563.2854878798,46.781458473704,121.225305104276,141263.141097799,112.843665004064,234.949927709978
"",8.799,58560.328116637,46.8083996306345,121.252449229295,141262.717309011,112.914014271566,234.977153501824
"",8.7995,58557.3708947375,46.8353379619295,121.279499166346,141262.293521495,112.984363151302,235.004240400901
"",8.8,58554.4138221741,46.862273467805,121.306455251148,141261.86973525,113.054711643272,235.0311890627
"",8.8005,58551.456898939,46.8892061484769,121.333317818365,141261.445950276,113.125059747479,235.058000140002
"",8.801,58548.5001250248,46.9161360041611,121.360087201606,141261.022166574,113.195407463924,235.084674282887
"",8.8015,58545.5435004239,46.9430630350735,121.386763733427,141260.598384143,113.265754792609,235.111212138737
"",8.802,58542.5870251287,46.9699872414299,121.413347745331,141260.174602984,113.336101733535,235.13761435225
"",8.8025,58539.6306991318,46.9969086234464,121.439839567774,141259.750823096,113.406448286704,235.163881565442
"",8.803,58536.6745224256,47.0238271813387,121.466239530161,141259.327044479,113.476794452117,235.190014417656
"",8.8035,58533.7184950025,47.0507429153226,121.492547960848,141258.903267133,113.547140229777,235.216013545574
"",8.804,58530.7626168551,47.0776558256141,121.518765187147,141258.479491059,113.617485619684,235.241879583218
"",8.8045,58527.8068879757,47.1045659124289,121.544891535327,141258.055716256,113.68783062184,235.267613161963
"",8.805,58524.8513083569,47.1314731759827,121.570927330609,141257.631942725,113.758175236248,235.29321491054
"",8.8055,58521.8958779911,47.1583776164916,121.596872897178,141257.208170465,113.828519462907,235.318685455051
"",8.806,58518.9405968707,47.185279234171,121.622728558175,141256.784399476,113.898863301821,235.344025418968
"",8.8065,58515.9854649883,47.2121780292369,121.648494635704,141256.360629758,113.969206752991,235.369235423146
"",8.807,58513.0304823362,47.239074001905,121.674171450832,141255.936861312,114.039549816418,235.394316085832
"",8.8075,58510.075648907,47.2659671523909,121.699759323591,141255.513094137,114.109892492103,235.419268022667
"",8.808,58507.1209646932,47.2928574809106,121.725258572979,141255.089328234,114.18023478005,235.444091846701
"",8.8085,58504.1664296871,47.3197449876795,121.75066951696,141254.665563601,114.250576680259,235.468788168394
"",8.809,58501.2120438813,47.3466296729133,121.775992472471,141254.24180024,114.320918192731,235.493357595628
"",8.8095,58498.2578072681,47.373511536828,121.801227755418,141253.81803815,114.391259317468,235.517800733715
"",8.81,58495.3037198402,47.4003905796389,121.82637568068,141253.394277332,114.461600054473,235.542118185403
"",8.8105,58492.3497815899,47.4272668015617,121.851436562111,141252.970517785,114.531940403746,235.566310550884
"",8.811,58489.3959925098,47.4541402028122,121.87641071254,141252.546759509,114.602280365289,235.590378427802
"",8.8115,58486.4423525922,47.4810107836058,121.901298443775,141252.123002504,114.672619939104,235.614322411263
"",8.812,58483.4888618296,47.5078785441582,121.926100066605,141251.699246771,114.742959125192,235.638143093838
"",8.8125,58480.5355202146,47.5347434846851,121.950815890796,141251.275492309,114.813297923556,235.661841065578
"",8.813,58477.5823277396,47.5616056054019,121.975446225103,141250.851739118,114.883636334196,235.685416914015
"",8.8135,58474.629284397,47.5884649065241,121.999991377261,141250.427987198,114.953974357114,235.708871224173
"",8.814,58471.6763901794,47.6153213882674,122.024451653995,141250.00423655,115.024311992312,235.732204578576
"",8.8145,58468.7236450791,47.6421750508474,122.048827361016,141249.580487173,115.094649239791,235.755417557257
"",8.815,58465.7710490887,47.6690258944792,122.073118803028,141249.156739067,115.164986099553,235.778510737762
"",8.8155,58462.8186022006,47.6958739193788,122.097326283724,141248.732992232,115.2353225716,235.801484695161
"",8.816,58459.8663044074,47.7227191257614,122.121450105795,141248.309246669,115.305658655933,235.824340002058
"",8.8165,58456.9141557014,47.7495615138424,122.145490570925,141247.885502377,115.375994352554,235.847077228591
"",8.817,58453.9621560751,47.7764010838375,122.169447979797,141247.461759356,115.446329661464,235.86969694245
"",8.8175,58451.0103055211,47.803237835962,122.193322632093,141247.038017606,115.516664582666,235.892199708877
"",8.818,58448.0586040318,47.8300717704312,122.217114826496,141246.614277128,115.586999116159,235.914586090678
"",8.8185,58445.1070515996,47.8569028874607,122.240824860696,141246.190537921,115.657333261948,235.93685664823
"",8.819,58442.155648217,47.8837311872659,122.264453031384,141245.766799985,115.727667020032,235.95901193949
"",8.8195,58439.2043938766,47.910556670062,122.287999634261,141245.34306332,115.798000390413,235.981052519998
"",8.82,58436.2532885707,47.9373793360645,122.311464964036,141244.919327926,115.868333373094,236.002978942892
"",8.8205,58433.302332292,47.9641991854887,122.334849314432,141244.495593804,115.938665968074,236.024791758912
"",8.821,58430.3515250327,47.99101621855,122.358152978181,141244.071860953,116.008998175358,236.046491516407
"",8.8215,58427.4008667854,48.0178304354637,122.381376247035,141243.648129373,116.079329994945,236.068078761347
"",8.822,58424.4503575426,48.044641836445,122.404519411759,141243.224399064,116.149661426838,236.089554037325
"",8.8225,58421.4999972968,48.0714504217094,122.42758276214,141242.800670026,116.219992471038,236.110917885572
"",8.823,58418.5497860404,48.0982561914719,122.450566586985,141242.37694226,116.290323127546,236.132170844959
"",8.8235,58415.5997237659,48.125059145948,122.473471174127,141241.953215765,116.360653396365,236.153313452007
"",8.824,58412.6498104658,48.1518592853528,122.49629681042,141241.529490541,116.430983277495,236.174346240895
"",8.8245,58409.7000461325,48.1786566099017,122.519043781749,141241.105766588,116.50131277094,236.19526974347
"",8.825,58406.7504307586,48.2054511198097,122.541712373027,141240.682043906,116.571641876699,236.216084489251
"",8.8255,58403.8009643365,48.2322428152922,122.5643028682,141240.258322496,116.641970594775,236.236791005439
"",8.826,58400.8516468587,48.2590316965643,122.586815550245,141239.834602356,116.712298925169,236.257389816924
"",8.8265,58397.9024783177,48.2858177638411,122.609250701177,141239.410883488,116.782626867883,236.277881446297
"",8.827,58394.9534587059,48.3126010173379,122.631608602049,141238.987165891,116.852954422918,236.298266413851
"",8.8275,58392.0045880158,48.3393814572698,122.653889532953,141238.563449565,116.923281590277,236.318545237593
"",8.828,58389.05586624,48.3661590838519,122.676093773024,141238.13973451,116.99360836996,236.338718433253
"",8.8285,58386.1072933708,48.3929338972994,122.69822160044,141237.716020726,117.06393476197,236.358786514289
"",8.829,58383.1588694008,48.4197058978273,122.720273292426,141237.292308214,117.134260766308,236.378749991896
"",8.8295,58380.2105943225,48.4464750856506,122.742249125256,141236.868596973,117.204586382975,236.398609375014
"",8.83,58377.2624681283,48.4732414609847,122.764149374254,141236.444887002,117.274911611974,236.418365170337
"",8.8305,58374.3144908107,48.5000050240444,122.785974313798,141236.021178303,117.345236453305,236.438017882317
"",8.831,58371.3666623622,48.5267657750447,122.80772421732,141235.597470875,117.41556090697,236.457568013179
"",8.8315,58368.4189827753,48.5535237142009,122.82939935731,141235.173764718,117.485884972972,236.47701606292
"",8.832,58365.4714520425,48.5802788417278,122.851000005315,141234.750059833,117.556208651311,236.496362529324
"",8.8325,58362.5240701562,48.6070311578404,122.872526431947,141234.326356218,117.626531941989,236.515607907966
"",8.833,58359.5768371089,48.6337806627538,122.893978906881,141233.902653875,117.696854845008,236.534752692221
"",8.8335,58356.6297528931,48.660527356683,122.915357698855,141233.478952802,117.767177360369,236.553797373272
"",8.834,58353.6828175013,48.6872712398427,122.936663075679,141233.055253001,117.837499488074,236.572742440119
"",8.8345,58350.736030926,48.7140123124481,122.957895304232,141232.631554471,117.907821228125,236.591588379582
"",8.835,58347.7893931597,48.7407505747141,122.979054650465,141232.207857212,117.978142580523,236.610335676315
"",8.8355,58344.8429041948,48.7674860268554,123.000141379404,141231.784161224,118.04846354527,236.628984812811
"",8.836,58341.8965640239,48.7942186690872,123.021155755154,141231.360466507,118.118784122367,236.647536269409
"",8.8365,58338.9503726394,48.8209485016241,123.042098040897,141230.936773061,118.189104311816,236.665990524302
"",8.837,58336.0043300337,48.8476755246813,123.062968498898,141230.513080886,118.259424113619,236.684348053547
"",8.8375,58333.0584361995,48.8743997384734,123.083767390505,141230.089389982,118.329743527777,236.702609331069
"",8.838,58330.1126911292,48.9011211432152,123.104494976154,141229.66570035,118.400062554292,236.720774828672
"",8.8385,58327.1670948152,48.9278397391217,123.125151515367,141229.242011988,118.470381193165,236.738845016046
"",8.839,58324.2216472501,48.9545555264078,123.145737266758,141228.818324898,118.540699444399,236.756820360774
"",8.8395,58321.2763484263,48.9812685052879,123.166252488034,141228.394639078,118.611017307993,236.77470132834
"",8.84,58318.3311983364,49.0079786759772,123.186697435998,141227.97095453,118.681334783952,236.792488382136
"",8.8405,58315.3861969728,49.0346860386903,123.207072366548,141227.547271252,118.751651872275,236.810181983472
"",8.841,58312.441344328,49.0613905936419,123.227377534684,141227.123589246,118.821968572964,236.82778259158
"",8.8415,58309.4966403945,49.0880923410468,123.247613194508,141226.699908511,118.892284886021,236.845290663626
"",8.842,58306.5520851648,49.1147912811198,123.267779599226,141226.276229047,118.962600811449,236.862706654715
"",8.8425,58303.6076786314,49.1414874140754,123.28787700115,141225.852550853,119.032916349247,236.880031017896
"",8.843,58300.6634207868,49.1681807401286,123.307905651703,141225.428873931,119.103231499418,236.897264204178
"",8.8435,58297.7193116234,49.1948712594938,123.327865801419,141225.00519828,119.173546261964,236.914406662529
"",8.844,58294.7753511338,49.2215589723858,123.347757699943,141224.5815239,119.243860636886,236.931458839887
"",8.8445,58291.8315393104,49.2482438790192,123.367581596039,141224.157850791,119.314174624185,236.948421181169
"",8.845,58288.8878761458,49.2749259796088,123.387337737589,141223.734178953,119.384488223864,236.965294129276
"",8.8455,58285.9443616325,49.3016052743689,123.407026371594,141223.310508386,119.454801435924,236.982078125103
"",8.846,58283.0009957628,49.3282817635145,123.426647744179,141222.88683909,119.525114260366,236.998773607544
"",8.8465,58280.0577785294,49.3549554472599,123.446202100596,141222.463171065,119.595426697192,237.015381013502
"",8.847,58277.1147099247,49.3816263258198,123.465689685221,141222.039504311,119.665738746404,237.031900777895
"",8.8475,58274.1717899412,49.4082943994088,123.485110741563,141221.615838828,119.736050408003,237.048333333663
"",8.848,58271.2290185714,49.4349596682413,123.504465512263,141221.192174616,119.806361681991,237.064679111778
"",8.8485,58268.2863958078,49.461622132532,123.523754239096,141220.768511675,119.87667256837,237.08093854125
"",8.849,58265.3439216429,49.4882817924954,123.542977162973,141220.344850005,119.946983067141,237.097112049133
"",8.8495,58262.4015960692,49.5149386483459,123.562134523947,141219.921189606,120.017293178305,237.113200060535
"",8.85,58259.4594190792,49.5415927002981,123.581226561212,141219.497530478,120.087602901865,237.129202998625
"",8.8505,58256.5173906654,49.5682439485665,123.600253513104,141219.073872621,120.157912237822,237.145121284637
"",8.851,58253.5755108202,49.5948923933654,123.619215617108,141218.650216034,120.228221186177,237.160955337885
"",8.8515,58250.6337795363,49.6215380349094,123.638113109856,141218.226560719,120.298529746932,237.176705575761
"",8.852,58247.692196806,49.6481808734129,123.656946227133,141217.802906675,120.368837920089,237.192372413749
"",8.8525,58244.7507626219,49.6748209090903,123.675715203877,141217.379253902,120.43914570565,237.207956265432
"",8.853,58241.8094769765,49.7014581421561,123.694420274181,141216.9556024,120.509453103615,237.223457542496
"",8.8535,58238.8683398622,49.7280925728246,123.713061671297,141216.531952168,120.579760113987,237.238876654738
"",8.854,58235.9273512717,49.7547242013101,123.731639627638,141216.108303208,120.650066736767,237.254214010078
"",8.8545,58232.9865111973,49.7813530278272,123.750154374779,141215.684655518,120.720372971957,237.269470014561
"",8.855,58230.0458196315,49.80797905259,123.768606143462,141215.2610091,120.790678819559,237.284645072365
"",8.8555,58227.105276567,49.8346022758129,123.786995163595,141214.837363952,120.860984279573,237.299739585812
"",8.856,58224.1648819961,49.8612226977104,123.805321664257,141214.413720076,120.931289352002,237.31475395537
"",8.8565,58221.2246359114,49.8878403184967,123.823585873701,141213.99007747,121.001594036847,237.329688579665
"",8.857,58218.2845383054,49.9144551383859,123.841788019352,141213.566436135,121.071898334109,237.344543855487
"",8.8575,58215.3445891705,49.9410671575925,123.859928327814,141213.142796071,121.142202243792,237.359320177794
"",8.858,58212.4047884994,49.9676763763308,123.87800702487,141212.719157279,121.212505765895,237.374017939723
"",8.8585,58209.4651362844,49.9942827948148,123.896024335487,141212.295519756,121.28280890042,237.388637532596
"",8.859,58206.5256325181,50.020886413259,123.913980483814,141211.871883505,121.353111647371,237.403179345928
"",8.8595,58203.586277193,50.0474872318774,123.931875693188,141211.448248525,121.423414006746,237.417643767431
"",8.86,58200.6470703016,50.0740852508843,123.949710186134,141211.024614816,121.49371597855,237.432031183025
"",8.8605,58197.7080118364,50.100680470494,123.96748418437,141210.600982378,121.564017562782,237.446341976843
"",8.861,58194.7691017899,50.1272728909206,123.985197908807,141210.17735121,121.634318759445,237.46057653124
"",8.8615,58191.8303401546,50.1538625123781,124.002851579553,141209.753721313,121.70461956854,237.474735226797
"",8.862,58188.891726923,50.1804493350808,124.020445415914,141209.330092688,121.774919990069,237.48881844233
"",8.8625,58185.9532620877,50.2070333592429,124.037979636398,141208.906465333,121.845220024033,237.502826554899
"",8.863,58183.0149456411,50.2336145850783,124.055454458715,141208.482839249,121.915519670434,237.516759939811
"",8.8635,58180.0767775757,50.2601930128014,124.072870099782,141208.059214436,121.985818929275,237.530618970628
"",8.864,58177.138757884,50.286768642626,124.090226775723,141207.635590894,122.056117800555,237.544404019179
"",8.8645,58174.2008865587,50.3133414747663,124.107524701875,141207.211968622,122.126416284277,237.558115455559
"",8.865,58171.263163592,50.3399115094365,124.124764092785,141206.788347622,122.196714380443,237.571753648141
"",8.8655,58168.3255889766,50.3664787468504,124.141945162217,141206.364727892,122.267012089053,237.585318963584
"",8.866,58165.388162705,50.3930431872221,124.159068123152,141205.941109433,122.33730941011,237.598811766837
"",8.8665,58162.4508847697,50.4196048307657,124.176133187792,141205.517492246,122.407606343616,237.612232421144
"",8.867,58159.5137551632,50.4461636776952,124.19314056756,141205.093876328,122.477902889572,237.625581288057
